                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9992,                 19.195,                 2.0489,                0.16344,                0.05344,                0.03692,                0.01215,                 2.5734,                 4.0174,                 1.7948,              0.0033147,              0.0033147,              0.0033147
                      2,                 2.7617,                 4.0845,                 1.8204,                0.15385,                0.03053,                0.08291,                0.04335,                 2.6971,                 5.1804,                 2.1152,              0.0066261,              0.0066261,              0.0066261
                      3,                 3.0199,                 4.2725,                 1.9587,                 0.0011,                0.16794,                0.00074,                0.00019,                 3.1084,                 4.8387,                 2.2629,              0.0099155,              0.0099155,              0.0099155
                      4,                 3.1852,                 4.3677,                 2.1629,                0.00346,                0.03053,                0.00259,                0.00142,                 3.1474,                 5.0335,                 2.2039,               0.009901,               0.009901,               0.009901
                      5,                 3.2177,                 4.3897,                 2.1854,                0.00346,                0.03053,                0.00259,                0.00142,                 3.7557,                 6.4596,                 2.4093,               0.009901,               0.009901,               0.009901
                      6,                 3.2906,                 4.2705,                 2.1597,                 0.1236,                0.05344,                0.02376,                0.00725,                 3.0429,                  4.258,                 2.0818,               0.009868,               0.009868,               0.009868
                      7,                 3.2262,                 4.0254,                 2.1018,                0.00324,                0.41221,                0.01866,                0.00593,                 2.8644,                 3.9106,                  2.069,               0.009835,               0.009835,               0.009835
                      8,                 3.2169,                 4.0558,                 2.0849,                0.10155,                0.03817,                0.01914,                 0.0074,                 2.8951,                  4.072,                 2.0355,               0.009802,               0.009802,               0.009802
                      9,                 3.2319,                 4.1009,                 2.0252,                0.45394,                 0.0458,                0.06436,                0.02243,                 2.7577,                 3.5732,                 1.9711,               0.009769,               0.009769,               0.009769
                     10,                 3.0593,                 3.8707,                 2.0645,                0.13696,                0.07392,                0.03552,                0.01182,                 2.8439,                 3.8874,                 2.0278,               0.009736,               0.009736,               0.009736
                     11,                 2.9762,                 3.9127,                 1.9762,                0.00277,                0.51145,                0.07601,                0.02263,                  2.658,                 3.8453,                 1.9439,               0.009703,               0.009703,               0.009703
                     12,                 2.9945,                 3.6714,                 1.9673,                0.24701,                0.04763,                0.06194,                0.02431,                 2.7027,                 3.6771,                 1.8986,                0.00967,                0.00967,                0.00967
                     13,                 3.0164,                 3.7427,                 1.9806,                0.27077,                0.08397,                0.08075,                0.02453,                 2.7601,                 3.7855,                 1.9765,               0.009637,               0.009637,               0.009637
                     14,                 2.9744,                 3.5825,                 1.9897,                  0.237,                0.10687,                0.06697,                0.02371,                  2.766,                 3.7186,                  1.973,               0.009604,               0.009604,               0.009604
                     15,                 2.9195,                 3.6587,                 1.9548,                0.35623,                0.03053,                0.10225,                0.03357,                 2.5943,                 3.3424,                 1.8881,               0.009571,               0.009571,               0.009571
                     16,                 2.8415,                 3.4998,                 1.8928,                0.20821,                0.16031,                0.12323,                0.03865,                 2.6204,                 3.7888,                 1.8803,               0.009538,               0.009538,               0.009538
                     17,                 2.8133,                 3.4822,                 1.8689,                0.27368,                0.16031,                0.10346,                0.03393,                 2.5681,                 3.6766,                 1.8134,               0.009505,               0.009505,               0.009505
                     18,                 2.8436,                 3.4102,                 1.8755,                 0.3082,                0.14286,                0.13889,                0.05727,                 2.5402,                 3.1383,                 1.8384,               0.009472,               0.009472,               0.009472
                     19,                 2.7187,                 3.3616,                 1.8297,                0.30137,                 0.0687,                0.08623,                0.02799,                  2.619,                 3.3805,                  1.873,               0.009439,               0.009439,               0.009439
                     20,                 2.8032,                 3.3672,                 1.8289,                0.26342,                0.19847,                0.16184,                0.05855,                 2.5238,                 3.1093,                 1.7945,               0.009406,               0.009406,               0.009406
                     21,                 2.7672,                 3.3554,                 1.8596,                0.26329,                0.25954,                0.12964,                0.04935,                 2.5549,                 3.0535,                 1.8435,               0.009373,               0.009373,               0.009373
                     22,                 2.8137,                 3.2714,                 1.8804,                0.20178,                0.18321,                0.10667,                0.03852,                 2.6027,                 5.5149,                 1.8862,                0.00934,                0.00934,                0.00934
